Marker	Allele	LUS	BP	EA1	EA3	EA4
TH01	3	3	158	0	0	0
TH01	4	4	162	0	0	0
TH01	5	5	166	1	1	0
TH01	6	6	170	77	148	196
TH01	7	7	174	57	333	124
TH01	7.3	NA	177	0	0	0
TH01	8	8	178	46	163	122
TH01	8.3	5	181	0	0	0
TH01	9	9	182	50	100	259
TH01	9.3	6	185	151	45	152
TH01	11	11	190	0	0	1
TH01	12	12	194	0	0	0
TH01	13.3	8	201	0	0	0
TH01	-100	NA	NA	0	0	0
vWA	10	4	151	0	0	0
vWA	10.2	NA	153	0	0	0
vWA	11	7	155	0	0	0
vWA	11.2	NA	157	0	0	0
vWA	12	7	159	0	1	0
vWA	12.2	NA	161	0	0	0
vWA	13	7.333	163	0	20	2
vWA	13.2	NA	165	0	0	0
vWA	14	7.5	167	34	41	106
vWA	14.2	NA	169	0	0	0
vWA	15	10.5	171	38	156	76
vWA	15.2	NA	173	0	0	0
vWA	16	11.5	175	98	222	181
vWA	16.2	NA	177	0	0	0
vWA	17	12	179	95	166	221
vWA	17.2	NA	181	0	0	0
vWA	18	12.5	183	80	104	185
vWA	18.2	NA	185	0	0	0
vWA	19	14	187	34	48	73
vWA	19.2	NA	189	0	0	0
vWA	20	15	191	5	20	17
vWA	20.2	NA	193	0	0	0
vWA	21	16	195	0	7	1
vWA	21.2	NA	197	0	0	0
vWA	-100	NA	NA	0	0	0
D18S51	6	NA	260	0	0	0
D18S51	6.2	NA	262	0	0	0
D18S51	7	NA	264	0	0	0
D18S51	7.2	NA	266	0	0	0
D18S51	8	8	268	0	0	0
D18S51	8.2	NA	270	0	0	0
D18S51	9	9	272	0	0	0
D18S51	9.2	NA	274	0	0	0
D18S51	10	10	276	2	1	6
D18S51	10.2	NA	278	0	0	0
D18S51	11	11	280	5	4	19
D18S51	11.2	NA	282	0	0	0
D18S51	12	12	284	51	63	64
D18S51	12.2	NA	286	0	0	0
D18S51	13	13	288	39	23	117
D18S51	13.2	13	290	0	4	0
D18S51	14	14	292	64	39	215
D18S51	14.2	14	294	0	2	0
D18S51	15	15	296	54	114	146
D18S51	15.2	15	298	0	1	0
D18S51	16	16	300	56	116	107
D18S51	16.2	NA	302	0	9	0
D18S51	17	17	304	64	135	75
D18S51	17.2	17	306	0	5	0
D18S51	18	18	308	29	90	29
D18S51	18.2	NA	310	0	2	0
D18S51	19	19	312	8	86	36
D18S51	19.2	19	314	0	0	0
D18S51	20	20	316	6	49	20
D18S51	20.2	NA	318	0	0	0
D18S51	21	21	320	4	20	9
D18S51	21.2	NA	322	0	0	0
D18S51	22	22	324	2	9	7
