Marker	Allele	LUS	BP	AfAm	Cau	Hisp	Asian
TH01	5	5	166	3	1	0	0
TH01	6	6	170	90	170	113	33
TH01	7	7	174	279	140	140	52
TH01	8	8	178	134	69	43	14
TH01	9	9	182	109	86	69	86
TH01	9.3	6	185	66	249	103	8
TH01	10	10	186	3	6	4	1
TH01	11	11	190	0	1	0	0
TH01	-100	NA	NA	0	0	0	0
vWA	11	7	155	2	0	1	0
vWA	12	7	159	1	1	0	0
vWA	13	7.333	163	6	1	0	0
vWA	14	7.5	167	55	67	38	38
vWA	15	10.5	171	131	76	68	4
vWA	16	11.5	175	171	145	134	27
vWA	17	12	179	161	205	116	61
vWA	18	12.5	183	102	146	85	40
vWA	19	14	187	43	75	24	21
vWA	20	15	191	11	5	5	3
vWA	21	16	195	1	1	1	0
vWA	-100	NA	NA	0	0	0	0
D18S51	9	9	272	2	0	0	0
D18S51	10	10	276	3	6	1	0
D18S51	11	11	280	1	7	7	0
D18S51	12	12	284	52	82	54	7
D18S51	13	13	288	28	89	58	42
D18S51	13.2	13	290	3	0	0	0
D18S51	14	14	292	49	97	76	46
D18S51	14.2	14	294	0	1	1	NA
D18S51	15	15	296	113	123	75	35
D18S51	15.2	15	298	1	0	0	0
D18S51	16	16	300	117	106	59	25
D18S51	16.2	NA	302	0	1	0	0
D18S51	17	17	304	104	100	59	13
D18S51	18	18	308	83	56	37	6
D18S51	19	19	312	68	29	22	8
D18S51	20	20	316	43	13	13	5
D18S51	21	21	320	7	7	4	2
D18S51	21.2	NA	322	1	0	0	0
D18S51	22	22	324	5	5	5	3
D18S51	23	23	328	3	0	0	1
D18S51	24	24	332	1	0	1	0
D18S51	28	28	348	0	0	0	1
D18S51	-100	NA	NA	0	0	0	0
D21S11	24	6	185	0	0	0	0
D21S11	24.2	8	187	0	0	1	0
D21S11	25.2	10	191	0	1	0	0
D21S11	26	8	193	1	0	0	0
D21S11	26.2	NA	195	0	0	1	0
D21S11	27	8.6667	197	51	16	13	0
D21S11	28	9.5	201	168	115	47	11
D21S11	28.2	NA	203	0	0	0	1
D21S11	29	10.5	205	140	146	98	39
D21S11	29.2	10	207	0	2	1	0
D21S11	29.3	NA	208	1	0	0	0
D21S11	30	11	209	116	204	129	64
D21S11	30.2	10.5	211	12	21	11	1
D21S11	30.3	NA	212	0	0	0	2
D21S11	31	11.5	213	54	52	36	24
