Marker	Allele	LUS	BP	AfAm	Cau	Hisp
TH01	5	5	166	3	1	0
TH01	6	6	170	90	170	113
TH01	7	7	174	279	140	140
TH01	8	8	178	134	69	43
TH01	9	9	182	109	86	69
TH01	9.3	6	185	66	249	103
TH01	10	10	186	3	6	4
TH01	11	11	190	0	1	0
TH01	-100	NA	NA	0	0	0
vWA	11	7	155	2	0	1
vWA	12	7	159	1	1	0
vWA	13	7.333	163	6	1	0
vWA	14	7.5	167	55	67	38
vWA	15	10.5	171	131	76	68
vWA	16	11.5	175	171	145	134
vWA	17	12	179	161	205	116
vWA	18	12.5	183	102	146	85
vWA	19	14	187	43	75	24
vWA	20	15	191	11	5	5
vWA	21	16	195	1	1	1
vWA	-100	NA	NA	0	0	0
D18S51	9	9	272	2	0	0
D18S51	10	10	276	3	6	1
D18S51	11	11	280	1	7	7
D18S51	12	12	284	52	82	54
D18S51	13	13	288	28	89	58
D18S51	13.2	13	290	3	0	0
D18S51	14	14	292	49	97	76
D18S51	14.2	14	294	0	1	1
D18S51	15	15	296	113	123	75
D18S51	15.2	15	298	1	0	0
D18S51	16	16	300	117	106	59
D18S51	16.2	NA	302	0	1	0
D18S51	17	17	304	104	100	59
D18S51	18	18	308	83	56	37
D18S51	19	19	312	68	29	22
D18S51	20	20	316	43	13	13
D18S51	21	21	320	7	7	4
D18S51	21.2	NA	322	1	0	0
D18S51	22	22	324	5	5	5
D18S51	23	23	328	3	0	0
D18S51	24	24	332	1	0	1
D18S51	-100	NA	NA	0	0	0
D21S11	24	6	185	0	0	0
D21S11	24.2	8	187	0	0	1
D21S11	25.2	10	191	0	1	0
D21S11	26	8	193	1	0	0
D21S11	26.2	NA	195	0	0	1
D21S11	27	8.6667	197	51	16	13
D21S11	28	9.5	201	168	115	47
D21S11	29	10.5	205	140	146	98
D21S11	29.2	10	207	0	2	1
D21S11	29.3	NA	208	1	0	0
D21S11	30	11	209	116	204	129
D21S11	30.2	10.5	211	12	21	11
D21S11	31	11.5	213	54	52	36
D21S11	31.2	11	215	35	71	47
D21S11	32	13	217	6	4	8
D21S11	32.2	12.6667	219	42	65	60
D21S11	33	14	221	3	1	2
D21S11	33.1	NA	222	2	0	1
D21S11	33.2	12.6667	223	24	19	16
D21S11	34	13	225	4	0	1
D21S11	34.2	14	227	0	3	0
D21S11	35	11.5	229	15	1	0
D21S11	36	12.6667	233	6	1	0
D21S11	37	12.5	237	2	0	0
D21S11	38	12.25	241	1	0	0
D21S11	39	NA	245	1	0	0
D21S11	-100	NA	NA	0	0	0
D8S1179	8	8	125	5	10	7
D8S1179	9	9	129	3	4	3
D8S1179	10	10	133	21	74	44
D8S1179	11	11	137	36	55	25
D8S1179	12	12	141	89	121	61
D8S1179	13	11	145	150	238	129
D8S1179	14	12	149	201	120	124
D8S1179	15	13	153	130	75	61
D8S1179	16	13	157	44	24	15
D8S1179	17	13	161	3	1	2
D8S1179	18	15	165	2	0	1
D8S1179	-100	NA	NA	0	0	0
FGA	16	8	209	0	0	0
FGA	16.2	9	211	1	0	0
FGA	17	9	213	0	0	1
FGA	17.2	NA	215	1	0	0
FGA	18	10	217	1	18	6
FGA	18.2	11	219	12	0	0
FGA	19	11	221	35	36	38
FGA	19.2	12	223	2	0	0
FGA	20	12	225	37	89	40
FGA	20.2	13	227	0	0	0
FGA	21	13	229	84	129	72
FGA	21.2	14	231	0	4	0
FGA	22	14	233	136	148	78
FGA	22.2	15	235	3	9	2
FGA	22.3	15	236	1	0	0
FGA	23	15	237	116	110	57
FGA	23.2	16	239	1	2	2
FGA	24	16	241	91	97	67
FGA	24.2	17	243	0	1	0
FGA	25	17	245	81	57	56
FGA	25.2	18	247	1	0	0
FGA	26	18	249	48	19	29
FGA	26.2	19	251	0	0	0
FGA	27	16	253	16	3	21
FGA	27.2	20	255	0	0	0
FGA	28	20	257	10	0	1
FGA	28.2	21	259	0	0	0
FGA	29	15	261	4	0	1
FGA	29.2	NA	263	0	0	0
FGA	30	16	265	1	0	1
FGA	30.2	14	267	1	0	0
FGA	31	NA	269	0	0	0
FGA	31.2	15	271	1	0	0
FGA	-100	NA	NA	0	0	0
D3S1358	11	NA	108	0	1	0
D3S1358	12	NA	112	3	0	0
D3S1358	13	10	116	2	1	3
D3S1358	14	11	120	62	77	37
D3S1358	15	11.5	124	211	197	152
D3S1358	15.2	NA	126	1	0	0
D3S1358	16	12.5	128	218	172	132
D3S1358	17	13.5	132	145	152	87
D3S1358	18	14	136	39	109	58
D3S1358	19	15	140	3	12	2
D3S1358	20	NA	144	0	1	1
D3S1358	-100	NA	NA	0	0	0
D16S539	5	5	231	1	0	0
D16S539	6	NA	235	0	0	0
D16S539	7	NA	239	0	0	0
D16S539	8	8	243	22	13	9
D16S539	9	9	247	125	77	66
D16S539	10	10	251	80	41	71
D16S539	11	11	255	215	227	125
D16S539	12	12	259	140	227	131
D16S539	13	13	263	84	118	63
D16S539	14	14	267	17	19	6
D16S539	15	15	271	0	0	1
D16S539	-100	NA	NA	0	0	0
D19S433	9	7	103	0	0	1
D19S433	10	8	107	7	1	1
D19S433	11	9	111	43	4	7
D19S433	12	10	115	84	51	31
D19S433	12.2	NA	117	25	1	6
D19S433	13	11	119	168	184	105
D19S433	13.2	NA	121	36	5	21
D19S433	14	12	123	144	261	167
D19S433	14.2	NA	125	51	17	18
D19S433	15	13	127	55	113	64
D19S433	15.2	NA	129	42	26	26
D19S433	16	14	131	3	41	12
D19S433	16.2	NA	133	18	11	13
D19S433	17	15	135	0	5	0
D19S433	17.2	NA	137	6	1	0
D19S433	18	16	139	0	0	0
D19S433	18.2	NA	141	2	1	0
D19S433	-100	NA	NA	0	0	0
D2S1338	15	NA	291	1	1	0
D2S1338	16	NA	295	38	27	14
D2S1338	17	11	299	69	134	80
D2S1338	18	NA	303	29	53	38
D2S1338	19	NA	307	95	87	91
D2S1338	20	NA	311	71	113	60
D2S1338	21	NA	315	93	27	15
D2S1338	22	NA	319	94	25	27
D2S1338	23	13	323	71	76	66
D2S1338	24	NA	327	57	83	36
D2S1338	25	NA	331	53	74	37
D2S1338	26	NA	335	10	22	8
D2S1338	27	NA	339	3	0	0
D2S1338	-100	NA	NA	0	0	0
CSF1PO	7	7	309	38	0	6
CSF1PO	8	8	313	38	4	2
CSF1PO	9	9	317	27	10	11
CSF1PO	10	10	321	171	159	112
CSF1PO	11	11	325	170	223	132
CSF1PO	12	12	329	202	260	177
CSF1PO	13	13	333	32	59	28
CSF1PO	14	14	337	6	7	3
CSF1PO	15	15	341	0	0	1
CSF1PO	-100	NA	NA	0	0	0
D13S317	8	8	205	19	87	52
D13S317	9	9	209	23	56	78
D13S317	10	10	213	21	34	47
D13S317	11	11	217	212	235	103
D13S317	12	12	221	286	194	111
D13S317	13	13	225	96	84	50
D13S317	14	14	229	27	31	29
D13S317	15	15	233	0	1	2
D13S317	-100	NA	NA	0	0	0
D5S818	7	7	134	2	2	16
D5S818	8	8	138	32	4	4
D5S818	9	9	142	22	30	25
D5S818	10	10	146	50	40	27
D5S818	11	11	150	160	257	184
D5S818	12	12	154	252	280	160
D5S818	13	13	158	153	103	51
D5S818	14	14	162	11	5	4
D5S818	15	15	166	2	1	1
D5S818	-100	NA	NA	0	0	0
D7S820	6	6	257	1	0	0
D7S820	7	7	261	8	20	5
D7S820	8	8	265	156	104	57
D7S820	8.1	NA	266	0	1	0
D7S820	9	269	269	79	121	43
D7S820	10	273	273	230	185	145
D7S820	10.3	276	276	0	0	1
D7S820	11	277	277	139	148	131
D7S820	12	281	281	60	115	73
D7S820	13	285	285	10	25	17
D7S820	14	289	289	1	3	0
D7S820	-100	NA	NA	0	0	0
TPOX	5	5	213	0	1	0
TPOX	6	6	217	61	1	4
TPOX	7	7	221	12	0	3
TPOX	8	8	225	251	379	229
TPOX	9	9	229	133	92	44
TPOX	10	10	233	59	36	23
TPOX	11	11	237	147	182	120
TPOX	12	12	241	18	30	49
TPOX	13	13	245	1	1	0
TPOX	-100	NA	NA	0	0	0
