Marker	Allele	BP	EA1	EA3	EA4
TH01	5	166	1	2	0
TH01	6	170	212	44	118
TH01	7	174	156	128	77
TH01	8	178	90	69	42
TH01	8.3	181	0	0	1
TH01	9	182	119	40	94
TH01	9.3	185	289	39	66
TH01	10	186	7	6	2
TH01	R	NA	0	0	0
vWA	13	163	0	5	2
vWA	14	167	86	24	51
vWA	15	171	90	69	27
vWA	15.2	173	0	0	1
vWA	16	175	184	77	95
vWA	17	179	234	62	113
vWA	18	183	183	56	75
vWA	19	187	74	19	30
vWA	20	191	21	12	6
vWA	21	195	2	4	0
vWA	R	NA	0	0	0
D18	10	276	12	0	0
D18	11	280	5	1	10
D18	12	284	138	25	26
D18	13	288	113	25	55
D18	14	292	155	20	95
D18	14.2	294	1	1	0
D18	15	296	124	44	73
D18	16	300	107	57	68
D18	17	304	90	52	21
D18	18	308	69	35	17
D18	19	312	36	32	16
D18	19.2	314	0	2	0
D18	20	316	15	21	11
D18	21	320	7	8	7
D18	22	324	2	4	1
D18	31	360	0	1	0
D18	R	NA	0	0	0
D21	25	189	1	0	0
D21	26	193	0	1	0
D21	27	197	23	23	5
D21	28	201	144	78	77
D21	29	205	179	59	81
D21	29.2	207	0	0	1
D21	29.3	208	0	0	1
D21	30	209	237	60	63
D21	30.2	211	22	7	5
D21	31	213	79	21	21
D21	31.2	215	82	24	38
D21	32	217	10	2	3
D21	32.2	219	64	28	72
D21	33	221	0	2	0
D21	33.2	223	31	11	31
D21	34	225	0	2	0
D21	34.2	227	1	0	0
D21	35	229	0	7	1
D21	35.2	231	1	0	1
D21	36	233	0	3	0
D21	R	NA	0	0	0
D8	8	125	17	2	2
D8	9	129	18	3	0
D8	10	133	77	13	61
D8	11	137	63	14	34
D8	12	141	110	34	47
D8	13	145	300	70	82
D8	14	149	174	93	72
D8	15	153	89	77	76
D8	16	157	23	17	22
D8	17	161	1	4	3
D8	18	165	2	1	1
D8	R	NA	0	0	0
FGA	18	217	20	4	3
FGA	18.2	219	0	5	0
FGA	19	221	50	19	23
FGA	19.2	223	0	1	0
FGA	20	225	125	21	38
FGA	20.2	227	0	1	0
FGA	21	229	155	41	59
FGA	21.2	231	2	0	4
FGA	22	233	144	49	58
FGA	22.2	235	17	0	0
FGA	23	237	135	79	70
FGA	23.2	239	3	1	3
FGA	24	241	121	47	74
FGA	24.2	243	0	0	2
FGA	25	245	67	20	43
FGA	25.2	247	0	0	2
FGA	26	249	25	26	14
FGA	27	253	9	7	5
FGA	28	257	1	4	2
FGA	29	261	0	1	0
FGA	30.2	267	0	1	0
FGA	46.2	331	0	1	0
FGA	R	NA	0	0	0
D3	12	112	1	0	0
D3	13	116	5	1	1
D3	14	120	115	26	24
D3	15	124	232	88	110
D3	16	128	216	115	125
D3	17	132	170	76	88
D3	18	136	123	21	47
D3	19	140	12	1	5
D3	R	NA	0	0	0
D16	4	227	0	0	0
D16	4.2	229	0	0	0
D16	5	231	0	1	0
D16	5.2	233	0	0	0
D16	6	235	0	0	0
D16	7	239	0	0	0
D16	7.2	241	0	0	0
D16	8	243	17	5	23
D16	8.2	245	0	0	0
D16	9	247	113	62	77
D16	9.2	249	0	0	0
D16	10	251	47	39	46
D16	10.2	253	0	0	0
D16	11	255	253	114	117
D16	11.2	257	0	0	0
D16	12	259	252	73	82
D16	12.2	261	0	0	0
D16	13	263	163	27	48
D16	13.2	265	0	0	0
D16	14	267	25	7	7
D16	14.2	269	0	0	0
D16	15	271	4	0	0
D16	15.2	273	0	0	0
D16	16	275	0	0	0
D16	R	NA	0	0	0
D19	10	107	0	2	1
D19	10.2	109	0	1	0
D19	11	111	0	24	0
D19	12	115	76	37	22
D19	12.2	117	0	11	4
D19	13	119	194	90	104
D19	13.2	121	11	13	8
D19	14	123	334	83	101
D19	14.2	125	13	11	27
D19	15	127	155	25	69
D19	15.2	129	33	16	28
D19	16	131	36	3	21
D19	16.2	133	15	9	9
D19	17	135	4	0	5
D19	17.2	137	0	2	1
D19	18	139	0	1	0
D19	18.2	141	2	0	0
D19	19.2	145	1	0	0
D19	R	NA	0	0	0
D2	16	295	32	13	4
D2	17	299	162	48	40
D2	18	303	76	18	48
D2	19	307	96	52	58
D2	20	311	121	24	55
D2	21	315	28	37	20
D2	22	319	21	44	24
D2	23	323	98	36	62
D2	24	327	124	22	41
D2	25	331	97	27	43
D2	26	335	17	7	2
D2	27	339	2	0	2
D2	28	343	0	0	1
D2	R	NA	0	0	0
