Marker	Allele	LUS	BP	EA1	EA3	EA4
TH01	5	5	166	1	2	0
TH01	6	6	170	212	44	118
TH01	7	7	174	156	128	77
TH01	8	8	178	90	69	42
TH01	8.3	5	181	0	0	1
TH01	9	9	182	119	40	94
TH01	9.3	6	185	289	39	66
TH01	10	10	186	7	6	2
TH01	-100	NA	NA	0	0	0
vWA	13	7.333	163	0	5	2
vWA	14	7.5	167	86	24	51
vWA	15	10.5	171	90	69	27
vWA	15.2	NA	173	0	0	1
vWA	16	11.5	175	184	77	95
vWA	17	12	179	234	62	113
vWA	18	12.5	183	183	56	75
vWA	19	14	187	74	19	30
vWA	20	15	191	21	12	6
vWA	21	16	195	2	4	0
vWA	-100	NA	NA	0	0	0
D18S51	10	10	276	12	0	0
D18S51	11	11	280	5	1	10
D18S51	12	12	284	138	25	26
D18S51	13	13	288	113	25	55
D18S51	14	14	292	155	20	95
D18S51	14.2	14	294	1	1	0
D18S51	15	15	296	124	44	73
D18S51	16	16	300	107	57	68
D18S51	17	17	304	90	52	21
D18S51	18	18	308	69	35	17
D18S51	19	19	312	36	32	16
D18S51	19.2	19	314	0	2	0
D18S51	20	20	316	15	21	11
D18S51	21	21	320	7	8	7
D18S51	22	22	324	2	4	1
D18S51	31	NA	360	0	1	0
D18S51	-100	NA	NA	0	0	0
D21S11	25	10	189	1	0	0
D21S11	26	8	193	0	1	0
D21S11	27	8.6667	197	23	23	5
D21S11	28	9.5	201	144	78	77
D21S11	29	10.5	205	179	59	81
D21S11	29.2	10	207	0	0	1
D21S11	29.3	NA	208	0	0	1
D21S11	30	11	209	237	60	63
D21S11	30.2	10.5	211	22	7	5
D21S11	31	11.5	213	79	21	21
D21S11	31.2	11	215	82	24	38
D21S11	32	13	217	10	2	3
D21S11	32.2	12.6667	219	64	28	72
D21S11	33	14	221	0	2	0
D21S11	33.2	12.6667	223	31	11	31
D21S11	34	13	225	0	2	0
D21S11	34.2	14	227	1	0	0
D21S11	35	11.5	229	0	7	1
D21S11	35.2	15	231	1	0	1
D21S11	36	12.6667	233	0	3	0
D21S11	-100	NA	NA	0	0	0
D8S1179	8	8	125	17	2	2
D8S1179	9	9	129	18	3	0
D8S1179	10	10	133	77	13	61
D8S1179	11	11	137	63	14	34
D8S1179	12	12	141	110	34	47
D8S1179	13	11	145	300	70	82
D8S1179	14	12	149	174	93	72
D8S1179	15	13	153	89	77	76
D8S1179	16	13	157	23	17	22
D8S1179	17	13	161	1	4	3
D8S1179	18	15	165	2	1	1
D8S1179	-100	NA	NA	0	0	0
